airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
15362779,1,0,0,0,0,5,30.29762564,-97.67742203,Austin,Pecan Spings,Close to downtown and UT.,2,2,Private room,Private room,,0,0.9,49,$49 ,,USD,0.97,TX
15364852,1,0,0,0,0,6,30.2377808,-97.716929,Austin,,"Efficiency located near downtown Austin, Texas",3,3,Entire home/apt,Entire apartment,4.5,0,1,57,$57 ,,USD,1,TX
15369790,1,0,0,0,0,7,30.21091338,-97.9864233,Austin,,Deer Run Bed and Breakfast Hawk's Nest Suite,2,1,Entire home/apt,Entire bed & breakfast,,0,0.4,175,$175 ,,USD,0.8,TX
15370280,1,0,0,0,0,14,30.23251784,-97.74058135,Austin,Parker Lane,Clean Private Master Suite 2 miles to DT,2,46,Private room,Private room,5,0,1,72,$72 ,,USD,0.88,TX
15371925,2,0,0,0,1,10,30.27505853,-97.72955901,Austin,,Modern Loft where Downtown meets the Eastside,4,20,Entire home/apt,Entire loft,5,0,1,97,$97 ,,USD,0.82,TX
15373029,2,0,0,0,1,7,30.18087924,-97.76281479,Austin,McKinney,Cozy 2BD with queen size beds,4,14,Private room,Private room,5,0,1,49,$49 ,,USD,1,TX
15376495,1,0,0,0,0,14,30.23806903,-97.76448755,Austin,Galindo,Authentic 50s Cozy Austin Home,3,2,Private room,Private room,,0,1,72,$72 ,,USD,0.95,TX
15380493,3,0,1,0,1,20,30.26186444,-97.70966076,Austin,,Modern Central Austin ACL Home-Walk to 6th St/SXSW,7,20,Entire home/apt,Entire house,5,1,0.85,1299,"$1,299 ",,USD,0.9,TX
15381774,1,0,0,0,0,4,30.27311643,-97.69538624,Austin,MLK & 183,Central East Austin. Airport Blvd/Oak Springs Dr.,2,40,Private room,Private room,4.5,0,1,45,$45 ,,USD,0.79,TX
15385302,2,0,0,0,0,17,30.33074167,-97.72966085,Austin,Brentwood,House close to ACL w/ free tickets,6,0,Entire home/apt,Entire house,,0,1,200,$200 ,,USD,1,TX
15390390,2,0,0,0,0,33,30.28225178,-97.74367164,Austin,,Comfy & Colorful Downtown Apartment,4,0,Entire home/apt,Entire apartment,,1,1,220,$220 ,,USD,1,TX
15392269,2,0,1,1,1,43,30.29859308,-97.70265868,Austin,,Mueller Comfort: 2 bdrm/2.5 bath near downtown,5,14,Entire home/apt,Entire house,5,0,0.8,160,$160 ,,USD,0.9,TX
15392870,2,0,0,0,0,8,30.25586551,-97.75205829,Austin,South First,2 bedroom near downtown,5,1,Entire home/apt,Entire apartment,,0,1,200,$200 ,,USD,0.68,TX
15393879,1,0,0,0,0,11,30.40352293,-97.70807938,Austin,Gracywoods,Attractive Executive Condo-Extended Stay,2,6,Entire home/apt,Entire condominium,5,1,0.98,59,$59 ,,USD,0.99,TX
